Activity Master: Activity Master Number,Zone,Activity Code,Activity Name,Activity Name (Arabic),Status,Minimum Share Capital,License Type,Is Not Allowed for Coworking(ESR),Is Special,Activity Price,Activity Group,Description,Qualification Requirement,Documents Required
AM-06758,Freezone,77300-13,Commercial Equipment and Professional Machines Renting,????? ??????? ???????? ??????? ???????,Active,,Commercial,0,Standard,,"Renting and leasing of machinery, equipment and tangible goods",,,
AM-09163,Freezone,8299006,Commercial Information Services,????? ????????? ????????,Active,,Services,0,Standard,,Consulting - Management and Information,Includes firms engaged in the provision of information on business potentials and investment opportunities.,,???? ??????? ???? ???? ?? ???? ????? ????? ?????????? ???????? ???????? ???????? ????????? ???????? ????? ????? ??????????? ?????????? ???????? ????? ??? ????? ?????? ??????? ?????? ?? ????????? ??? ??????? ????? ???????
AM-05162,Freezone,742121,Communication Engineering Consultancy,????? ?????????,Active,,Services,0,Standard,,Consultancy -B- Engineering,"Includes providing services and consultancies related to the transmission of voice, data, and video using a wired or wireless telecommunications infrastructure, involving switching and transmission facilities to provide point-to-point communications via landlines, microwave or a combination of landlines and satellite linkups, cable distribution systems, cellular and other wireless telecommunications networks.",Certified_Academic_Degree,
AM-06559,Freezone,8690004,Compensation Devices Manufacturing Lab,???? ???? ??????? ?????????,Active,,Services,0,Standard,,Services,,,Ministry of Industry and Advanced Technology
AM-09288,Freezone,4661011,Compressed ( Liquefied ) Natural Gas Wholesale,????? ????? ??????? ??????? ( ?????? ) - ???????,Active,,Commercial,0,Special,5000,Fuel and petroleum products trading,"Includes selling compressed natural gas which is made by compressing natural gas to less than 1% of the volume it occupies at standard atmospheric pressure, and It is stored and distributed in hard containers in cylindrical or spherical shapes, it’s as fuel that can be used in place of gasoline, diesel fuel and liquefied petroleum gas, it’s used in traditional gasoline automobiles that have been modified or in vehicles specifically manufactured for CNG use, or in conjunction with another fuel",,
AM-04109,Freezone,515103,Computer & Data Processing Requisites Trading,????? ???????? ?????? ????? ??????? ????????,Active,,Commercial,0,Standard,,Electronics group,"Includes reselling tapes, CD-Roms, ribbons, printers ink, paper and other requisites used in computer operation and data storage.",,
AM-05063,Freezone,721001,Computer Consultancies,???????? ????? ?????? ?????,Active,,Services,0,Standard,,"Consultancy -D- management, information and marketing","Includes firms which provide consultancy to enterprises and companies, prepare studies related to the analysis of users' needs as regards computer hardware and software and provide the best solutions. This also includes the choice of software that corresponds to the company's activities, the choice of operation specifications, the equipment and preparation of computer rooms, the preparation of purchase tender documents and offers, as well as other related services and consultancies.",,
AM-04110,Freezone,515101,Computer Electric Accessories Trading,????? ??????? ????? ?????? ?????,Active,,Commercial,0,Standard,,Electronics group,"Includes reselling computer electric accessories such as distributors, switches, surge suppressors and battery back-ups and cables and connectors",,
AM-04112,Freezone,515104,Computer Equipment & Requisites Trading,????? ????? ?????? ????? ???????,Active,,Commercial,0,Standard,,Electronics group,"Includes reselling computers and accessories, including servers, modems, monitors, central processing units, printers, drawing and programmed discs, disc readers, memory and file storage requisites.",,
AM-05330,Freezone,722906,Computer Graphic Design Consultancy,??????? ??????? ?????,Active,,Services,0,Standard,,"Consultancy -D- management, information and marketing","Includes carrying computer drawing and designing for decorations, wedding and greeting cards, fashions, internet sites and many other activities, such works shall then be executed by specialized companies, other firms practicing similar works shall be listed under no. 4540-09.",,
AM-09244,Freezone,9511001,Computer Repair & Maintenance,????? ????? ?????? ????? ????????,Active,,Services,0,Standard,,electrical and electronic devices repairing,"The installation of entertainment games of all kinds, whether or electrical troubleshooting manual, as well as this activity includes facilities that carry out periodic maintenance of devices.",,
AM-09066,Freezone,RAKEZ /2017/59,Computer System Housing Services,????? ????? ????? ???? ?????????,Active,,Services,0,Standard,,"Computer programming, consultancy and related activities",,,
AM-09061,Freezone,RAKEZ /2017/56,Computer Systems and Software Designing,????? ??? ?????? ?????? ?????,Active,,Services,0,Standard,,"Computer programming, consultancy and related activities",,,
AM-03527,Freezone,809058,Computer Training,??????? ?? ???? ???????,Active,,Educational,0,Standard,10000,Training Institute,"Includes institutions primarily engaged in conducting computer training, such as computer programming, computerized business systems, computer electronics technology, computer operations and local area network management.",,Academic Zone
AM-09366,Freezone,6201025,Computer Vision Solutions,???? ?????? ?????????,Active,,Services,0,Standard,,Information Technology,"Creating and implementing computer vision solutions for image and video analysis, facial recognition, and object detection.",Acdemic Degree in Computer Science or qeuivalent,Certified Academic Degree
AM-01778,Freezone,5122-16,Confectionery & Chocolate Trading,????? ???????? ???????????,Active,,Commercial,0,Standard,,Foodstuff trading,"Includes re selling of all kinds of flavored confectionaries such as caramels, toffee, gums, lollipops, boiled sweets.",,For Warehouse & Land: RAK Municipality- Public Health Department
AM-09199,Freezone,8230002,Conferences and Symposiums Organization and Management,????? ????????? ???????? ????????,Active,,Services,0,Standard,,events and exhibitions managments ,,,
AM-09232,Freezone,7110920,Constructional Projects Management,???????? ????? ???????? ?????????,Active,,Services,0,Standard,,Consultation and project management,,,
AM-09110,Freezone,7730009,Construction and Building or Demolition Machines and Equipment Renting,????? ???? ?????? ??????? ??????? ?? ?????,Active,,Commercial,0,Standard,,Machinery equipment rental and trading,"Includes renting building and construction equipment for excavating, filling, demolition, earth leveling, road paving, cement mixing equipment and machinery, as well as cranes, elevators and heavy objects lifts, it does not involve the wheeled and motors operated equipment and machinery.",,
AM-01780,Freezone,5149-24,Construction Chemicals Trading,????? ?????? ????????? ?????? ??????,Active,,Commercial,0,Standard,,Chemicals trading,"Includes reselling chemical agents and products to use in building for concrete improving and curing before and after pouring, water and humidity proofing, pounding and adhesion, joints sealing, solvents, floors handling, pasting and painting.",,"For Warehouse & Land: Department of Civil Defense, General Resources Authority-CCTV"
AM-05336,Freezone,742103,Construction Engineering Consultancy,????? ??????? ???????,Active,,Services,0,Standard,,Other engineering services,"Includes providing engineering consultancies and services and constructional drawings, including drawing up preliminary and final studies to construction projects.",Certified_Academic_Degree,
AM-04774,Freezone,515917,Construction Equipment & Machinery Spare Parts Trading,????? ??? ???? ????? ?????? ??????,Active,,Commercial,0,Standard,,Mechanical & engineering equipment trading,"Includes reselling the spare parts of building and construction excavating, filling, demolition, earth leveling, road paving, cement mixing equipment and machinery, as well as cranes, elevators and heavy objects lifts.",,
AM-03630,Freezone,515915,Construction Equipment & Machinery Trading,????? ????? ?????? ?????? ????????,Active,,Commercial,0,Standard,,Mechanical & engineering equipment trading,"Includes reselling of building and construction excavating, filling, demolition, earth leveling, road paving, cement mixing equipment and machinery, as well as cranes, elevators and heavy objects lifts .",,
AM-09308,Freezone,4322010,Construction Metal structures Installation,????? ??????? ???????? ?????????,Active,,Services,0,Standard,,Other engineering services,"Includes installations specialized in all installation operations of equipment, umbrellas, and three-dimensional space metal structures for covering gyms, Olympic swimming pools, commercial markets, car showrooms, car parking shades, factories, general stores, and others. It includes the installation and maintenance of parts, structures and construction parts.",Certified_Academic_Degree,"""For Warehouse & Land: Department of Civil Defense, CCTV Certificate from General Resources Authority"""
AM-06460,Freezone,4659968,Construction Metal structures Wholesale,????? ??????? ????????? - ???????,Active,,Commercial,0,,,"Wholesale of machinery, equipment and supplies","Wholesale of machinery, equipment and supplies",,
AM-08935,Freezone,72101-01,"Consultancy, Studies and Researches in Natural and Engineering Sciences",?????????? ????????? ??????? ?? ????? ?????? ???????? ?????????,Active,,Services,0,Standard,,Consultations and studies,"Includes firms specialized in elaborating studies and experimental and development researches on sciences (mathematics, physics, astronomy, chemistry, life, earth sciences etc.), as well as medical, pharmacology, agricultural, engineering and technical sciences, in order to enrich knowledge and innovate new scientific applications thereof.",Certified_Academic_Degree,
AM-08985,Freezone,7210101,"Consultancy, Studies and Researches in Natural and Engineering Sciences",?????????? ????????? ??????? ?? ????? ?????? ???????? ?????????,Active,,Educational,0,Standard,,Research and Development,"Includes firms that engaged in consultancy, studies and researches in Natural and Engineering Sciences. This activity aims to monitor the trends, methods, tools and emerging findings that can be used to enhance the research process. This research will contribute to the greater benefit of society.",Certified_Academic_Degree,Academic Zone
AM-08980,Freezone,7220001,Consultancy and Studies and Researches in Economics,?????????? ????????? ??????? ?? ???? ??? ????????,Active,,Educational,0,Standard,,Research and Development,"Includes firms that engaged in consultancy, studies and researches in Economics. This activity aims to monitor the trends, methods, tools and emerging findings that can be used to enhance the research process. This research will contribute to the greater benefit of society.",Certified_Academic_Degree,Academic Zone
AM-08981,Freezone,7220004,Consultancy and Studies and Researches in Linguistics,?????????? ????????? ??????? ?? ???? ??? ??????,Active,,Educational,0,Standard,,Research and Development,"Includes firms that engaged in consultancy, studies and researches in Linguistics. This activity aims to monitor the trends, methods, tools and emerging findings that can be used to enhance the research process. This research will contribute to the greater benefit of society.",Certified_Academic_Degree,Academic Zone
AM-08982,Freezone,7220006,Consultancy and Studies and Researches in Literature and Arts,?????????? ????????? ??????? ?? ???? ??? ?????? ???????,Active,,Educational,0,Standard,,Research and Development,"Includes firms that engaged in consultancy, studies and researches in Literature and Arts. This activity aims to monitor the trends, methods, tools and emerging findings that can be used to enhance the research process. This research will contribute to the greater benefit of society.",Certified_Academic_Degree,Academic Zone
AM-08983,Freezone,7210103,Consultancy and Studies and Researches in Renewable Energy,?????????? ????????? ??????? ?? ???? ?????? ????????,Active,,Educational,0,Standard,,Research and Development,"Includes firms that engaged in consultancy, studies and researches in Renewable Energy. This activity aims to monitor the trends, methods, tools and emerging findings that can be used to enhance the research process. This research will contribute to the greater benefit of society.",Certified_Academic_Degree,Academic Zone
AM-08984,Freezone,7220002,Consultancy and Studies and Researches in Sociology,?????????? ????????? ??????? ?? ???? ??? ????????,Active,,Educational,0,Standard,,Research and Development,"Includes firms that engaged in consultancy, studies and researches in Sociology. This activity aims to monitor the trends, methods, tools and emerging findings that can be used to enhance the research process. This research will contribute to the greater benefit of society.",Certified_Academic_Degree,Academic Zone
AM-09126,Freezone,7110928,Consultancy of Aviation Engineering,???????? ????? ???????,Active,,Services,0,Standard,,Other engineering services,,Certified_Academic_Degree,Department of Civil Aviation
AM-09137,Freezone,7110903,Consultancy of Electricity Engineering,???????? ?? ??????? ??????????,Active,,Services,0,Standard,,Consulting - Engineering and Architecture,,Certified_Academic_Degree,
AM-08986,Freezone,7220007,Consulting and research and development in the field of technology education,?????????? ?????? ???????? ?? ???? ?????? ???????,Active,,Educational,0,Standard,,Research and Development,"Includes firms that engaged in consultancy, research and development in the field of technology education. This activity aims to monitor the trends, methods, tools and emerging findings that can be used to enhance the research process. This research will contribute to the greater benefit of society.",Certified_Academic_Degree,Academic Zone
AM-08962,Freezone,100106,Content portal - Classifieds/Listings Aggregator,????? ????? - ????????? ???????/???? ???????,Active,,Media,0,Standard,,General Media,"Web/mobile platform, which aggregates the listings of third parties (i.e. not the web/mobile platform owners’ own goods or services). The platform has search functionality but does not have the ability to make in-platform purchases and there is no payment gateway allowing for purchases directly through the platform.",,
AM-08963,Freezone,100107,Content Portal - Content app/website,????? ????? - ????? ???????/???? ????????,Active,,Media,0,Standard,,General Media,"A content rich software application/website which aggregates a variety of information and content (e.g. text, photos, graphics, videos etc.) about a specific subject matter or for a specific purpose to make the content accessible to the public in a clear, easy and organized way. Typically there is a subscription element, which may be with or without a subscription fee. In app purchases may be permitted, but this is incidental to the core purpose of the app/website. The app/website is not supporting a physical business; it is an independent business in itself, solely operating through the app/website.",,
AM-08965,Freezone,100109,Content portal - Online booking platform,????? ????? - ???? ?????? ??? ????????,Active,,Media,0,Standard,,General Media,"Web/mobile e-commerce platform that allows a customer to search, book and pay for an activity or service provided by a third party. The activity/service is paid for directly through the platform (i.e. payment is taken by the platform itself not the third party service provider) and typically the platform will make a commission from each booking",,
AM-08964,Freezone,100108,Content portal - Online comparison platform,????? ????? - ???? ??????? ??? ????????,Active,,Media,0,Standard,,General Media,"Web/mobile based price analysis tool that allows a customer to use an online search engine to find and compare products and/or services using selected criteria e.g. price, features, reviews, ratings etc. The platform aggregates listings of products and/or services from different retailers but does not directly sell the products itself. The platform typically does not have the functionality to make in-platform purchases (i.e. there is no payment gateway) but instead links the customer with the third party retailer. Comparison tools for higher risk products e.g. medical products, insurance, car loans, mortgages etc. would generally not be acceptable as providing advice in relation to these products may be regulated (e.g. by Ministry of Health).",,
AM-06784,Freezone,100067,Content Rights Management,????? ???? ???????,Active,,Media,0,Standard,,"Production (Film, TV & Radio)",Content Rights Management,,Media Brief Form
AM-08961,Freezone,100105,Content sale and distribution,??? ? ????? ???????,Active,,Media,0,Standard,,General Media,"Managing, selling and/or distributing the rights to content (e.g. television series, film, publications) to commercial third parties (e.g. television channels, television networks, online streaming platforms, publishers) but not including sale/distribution/dissemination of content directly to the public. The content may be created by the distributor itself, or by a third party.",,
AM-06978,Freezone,77300-14,Converting Industries Equipment & Machinery Rental,????? ???? ?????? ???????? ?????????,Active,,Services,0,Standard,,Services,,,
AM-03712,Freezone,513913,Cookers & Cookstoves Trading,????? ??????? ???????? ????? ????,Active,,Commercial,0,Standard,,Electronics group,"Includes reselling electric, gas, coal or kerosene burners, ovens and cookers, also, different barbecue items (excluding restaurants and cafeterias brands, which are classified under activity 5150-31)",,
AM-05475,Freezone,741429,Cooking Consultant,???????? ?? ?????,Active,,Services,0,Standard,,"Consultancy -D- management, information and marketing","Includes the provision of advice, guidance and operational assistance to hotels, restaurants, clubs, and other professionals in the hospitality industry as regarding how to skillfully preparing meals, helping create the recipes, demonstrate knowledge of the science of food, understanding of diet and nutrition, plan and execute cooking demonstrations in TV stations or any other place.",,
AM-02138,Freezone,5219-01,Co-Operative Society,????? ?????? ????????,Active,,Commercial,0,Standard,,Cooperation Societies,"Includes co-operative societies trade in foodstuff, readymade garments, household items and other consumables, also, other activities practised in the same site such as butchery, vegetables and fruits, video, laundry, perfumery, pharmacy and other related activities.",,RAK Municipality- Public Health Department
AM-06785,Freezone,100085,Corporate Content Provider,???? ??????? ???????,Active,,Media,0,Standard,,Publishing,Corporate Content Provider,,Media Brief Form
AM-06786,Freezone,100084,Corporate Publishing,????? ???????,Active,50000,Media,0,Standard,,Publishing,Corporate Publishing,Certified_Academic_Degree,"Media Regulatory Office / Ministry of Culture & Youth,Media Brief Form"
AM-08809,Freezone,70100-06,Corporate Services Provider (CSP),???? ????? ???????,Active,,Services,1,Special,5000,Professional Services,"Includes firms providing assistance in companies registration and establishing their businesses on behalf of its founding members, assists companies in their partnerships with foreign companies, assisting foreign and free zone companies in finding local partners and agents, provision of secretarial and other related services, it excludes provision of any kind of legal services",,"Business Plan to be Reviewed and Approved by Sales Director, Designated Non-Financial Business or Profession (DNFBP), Standalone Activity Activity Not Allowed for Flexi Units and ""Standalone License"".'Mandatory RAKEZ Visa within 6 months of the License Issuance""."
AM-01784,Freezone,7414-19,Cost Control & Risk Management Services,????? ????? ???????? ????????,Active,,Services,0,Standard,,finance consultants,"Includes firms which help others in taking steps to control and ensure that the actual cost of production do not exceed the standard cost set in advance in the planning stage, it involves risk management which implies identifying the risks encounter organizations, then assessing the risks, and finally to take steps and develop strategies to enable avoiding the risk or reduce it’s negative effects or transfer to another party.",,
AM-06787,Freezone,100064,Costume Design,????? ???????,Active,,Media,0,Standard,,"Production (Film, TV & Radio)",Costume Design,,Media Brief Form
AM-03714,Freezone,512124,Cotton & Natural Fibers Trading,????? ????? ???????? ????????,Active,,Commercial,0,Standard,,Chemicals trading,"Includes trading of raw cotton before undergoing any industrial or converting processes in order to meet different industrial and commercial needs, also, linen, jute, hemp and other natural fibers.",,
AM-01785,Freezone,RAKEZ /2017/13,Courier (Branch),????? ??????,Active,,Services,0,Special,6500,"Transport, shipping and storage",Courier (Branch),,"Emirates Post Group, Business Plan. Activity Not Allowed for Flexi Units."
AM-03717,Freezone,514334,Crane Rails & Fixing Accessories Trading,????? ????? ???????? ????????,Active,,Commercial,0,Standard,,Building materials trading,"Includes reselling the railroad for mounting cranes on it in order to use in freight handling in goods yards, or for accident recovery works.",,
AM-06788,Freezone,100002,Creative Agency,????? ????????,Active,,Media,0,Standard,,Media & Marketing Services,Creative Agency,,Media Brief Form
AM-04024,Freezone,RAKEZ /2017/35,Creative Design,??????? ????????,Active,,Individual / Professional,0,Standard,,"Design, Media & Architecture",Professional Individual Works,,
AM-04114,Freezone,513932,Crystal Products Trading,????? ?????? ?????? (?????????),Active,,Commercial,0,Standard,,Ready made garments qroup,"Includes reselling decorative and household crystal products, such as chandeliers, ladies ornaments, utensils, gifts, trophies.",,
AM-04116,Freezone,513124,Curtains & Upholstery Fabrics Trading,????? ????? ??????? ?????? ???????,Active,,Commercial,0,Standard,,Furnitures trading,Includes reselling different fabrics for curtains and upholstery.,,
AM-06272,Freezone,749941,Customer Care Center,???? ??????? ????????,Active,,Services,0,Standard,,"Consultancy -D- management, information and marketing","Includes centers founded by foreign and local corporatios having several branches and subsidiaries such as hotels, banks, hospitals, to provide services to their customers in respect of hotel reservations, information providing, complaints receiving….etc, this is different from any service provided by public relations or customer services offices operating in a relatively small firm.",,
AM-01790,Freezone,RAKEZ /2017/14,Customs Clearance Services,????? ??????? ???????,Active,,Services,0,Standard,,"Consultancy -D- management, information and marketing",Customs Clearance Services,,RAK Customs
AM-06273,Freezone,741427,Customs Consultant,?????????? ????????,Active,,Services,0,Standard,,"Consultancy -D- management, information and marketing","Includes firms engaged in advising importer and exporters on customs, involving, customs procedures, restrictions, discrepancies, exemptions, tariffs, customs value, in additions advising on customs cases considered before customs committees.",,
AM-03574,Freezone,513912,Cutlery & Silverware Trading,????? ??????? ?????? ???????,Active,,Commercial,0,Standard,,Home appliances trading,"Includes reselling cutlery spoons and knives and other household trays, plates, candlesticks, whether made of silver or gold or silver-plated metal, or of stainless steel.",,
AM-08805,Freezone,62020-06,Cyber Security Consultancy,???????? ????? ??????????,Active,,Services,0,Standard,,Consultancy –Technical,"Includes firms specialized in offering comprehensive professional cyber security consultancy to other organizations on how to prepare for, avoid and protect themselves against cyber-attacks and threats, such threats might involve networks, computers, programs and data damage or unauthorized access.",Certified Academic Degree,
AM-09360,Freezone,5820004,CyberSecurity Software Development,????? ??????? ????? ?????????,Active,,Services,0,Standard,,IT Services,"Developing and providing security software solutions, including antivirus programs, firewalls, encryption tools, and intrusion detection systems.",Acdemic Degree in Computer Science or qeuivalent,Certified Academic Degree
AM-01792,Freezone,5122-04,Dairy Products Trading,????? ??????? ?????????,Active,,Commercial,0,Standard,,Foodstuff trading,"Includes reselling fresh and preserved milk, whether in liquid, powdered or condensed, also, dairies including cheese, butter, cream and others, usually raw, canned or preserved.",,For Warehouse & Land: RAK Municipality- Public Health Department
AM-06472,Freezone,RAKEZ /2017/66,Databases Designing,????? ??? ????? ????????,Active,,Individual / Professional,0,Standard,,Information service activities,,,
AM-09290,Freezone,6311001,Data Classification & Analysis Services,????? ????? ?????? ????????,Active,,Services,0,Standard,,IT Services,"Includes firms specialized in evaluating and analyzing data provided by public and private entities, as well as classifying according to their common characteristics, in order to discover useful information, informing conclusions, and supporting decision-making by said entities, with the goal of improving the investment returns and optimally utilize the resources, as well as enhancing the capabilities of such entities as regarding solving present problems and future challenges, involving using d",,
AM-06469,Freezone,RAKEZ /2017/63,Data Collection from One or More Sources,??? ???????? ?? ???? ?? ???? ,Active,,Individual / Professional,0,Standard,,Information service activities,,,
AM-09361,Freezone,5820005,Data Encryption and Protection Services,????? ????? ???????? ????????,Active,,Services,0,Standard,,IT Services,"Providing solutions for data encryption, secure data storage, and protection against data breaches and unauthorized access.",Acdemic Degree in Computer Science or qeuivalent,Certified Academic Degree
AM-04027,Freezone,RAKEZ /2017/38,Data Entry,????? ??????,Active,,Individual / Professional,0,Standard,,Data Entry & Admin,Professional Individual Works,,
AM-08818,Freezone,RAKEZ9000909,Data Management and Cyber Security Services,????? ???????? ?????? ????? ??????????,Active,,Media,0,Standard,,E-Gaming Core,An entity offering data management and protection solutions to ensure that online and mobile games are compliant with relevant laws and that adequate cyber-security measures are in place.,,Media Brief Form
AM-06471,Freezone,RAKEZ /2017/65,Data Preparation,????? ????????,Active,,Individual / Professional,0,Standard,,Information service activities,,,
AM-06470,Freezone,RAKEZ /2017/64,Data Storing and Recovering,????? ???????? ??????????,Active,,Individual / Professional,0,Standard,,Information service activities,,,
AM-01795,Freezone,5121-05,Dates Trading,????? ??????,Active,,Commercial,0,Standard,,Foodstuff trading,"Includes reselling of all kinds of dates whether soft, semi crunchy or crunchy.",,For Warehouse & Land: RAK Municipality- Public Health Department
AM-06975,Freezone,749910,Debts Collection,????? ??????,Active,,Services,0,Standard,,Business support Services,"Includes firms which pursues payments of debts owed by others to individuals or businesses, whether being postdated checks or bad debts or others","Degree in law, business or economics is required",
AM-03575,Freezone,514321,Decoration Materials & Partitions Trading,????? ???? ??????? ????????,Active,,Commercial,0,Standard,,Furnitures trading,"Include reselling of indoor and outdoor decoration materials and products as well as home and office interior design, including gypsum engraves, wood and cement partitions, fittings of artificial decorators such as fountains, water falls and water ways, ready-made partitions used to divide space in offices made of wood, carton, aluminum, steel sheets or others.",,
AM-02139,Freezone,5219-03,Department Store,???? ?????,Active,,Commercial,0,Standard,,Separate trading activities,"Includes commercial firms engaged in trading various consumer or capital goods which are placed in different sections according to type to facilitate the selling process, such sections include household furniture, textiles and linens, readymade garments, shoes, electric appliances, household utensils, perfumes, medicines, gifts, toys and foodstuff, such store may include a cafeteria to provide snacks.",,RAK Municipality- Public Health Department
AM-02140,Freezone,4100-03,Desalination & Sewage Treatment Plants Operation & Maintenance,????? ????? ????? ??????? ?????? ????????,Active,,Commercial,0,Standard,,Separate trading activities,"Includes firms engaged in managing and directing the physical and technical functions of the desalination and sewage treatment plants as regarding overseeing and controlling the process of production to ensure that the operations are efficient in terms of using as few resources as needed as well as meeting the requirements, it involves equipment maintenance, strategic production policy, systems and productivity analysis, cost and quality control, materials planning.",,RAK Municipality- Public Health Department
AM-06789,Freezone,100058,"Design, Scenery, Motion Graphics and Lighting",???????/ ???????/ ?????? ????????/ ???????,Active,,Media,0,Standard,,"Production (Film, TV & Radio)","Design, Scenery, Motion Graphics and Lighting",,Media Brief Form
AM-06357,Freezone,222204,Design & Artwork,??????? ????? ?????????,Active,,Services,0,Standard,,Printing and publishing services,"Includes providing a wide range of design and artworks to firms engaged in printing and publishing. This includes designing books, magazine covers, stamps, greeting cards and brochures, the process may take the traditional for modern techniques.",,
AM-09065,Freezone,RAKEZ /2017/60,Design & Production of Frame Prototypes,????? ??? ?????  ??????? ???????,Active,,Services,0,Standard,,"Computer programming, consultancy and related activities",,,
AM-09298,Freezone,7410003,Design Services,????? ???????,Active,,Services,0,Standard,,Other engineering services,"Includes preparing the preliminary sketches or the plans for different objects, including Interior design, such works shall then be executed by specialized companies.",Certified_Academic_Degree,
AM-03917,Freezone,809040,Design Training,??????? ??? ???????,Active,,Educational,0,Standard,10000,Training Institute,"Includes providing training on creatively combing line, form and fabric to design and construct objects such as, fashion design, industrial products design, interior architecture, interior design, stage design, window dressing, neither technical building and industrial designs nor publishing and graphic design are included.",,Academic Zone
AM-06790,Freezone,100020,Destination Management,????? ???????,Active,,Media,0,Standard,,Event Management Services,Destination Management,,Media Brief Form
AM-03576,Freezone,514903,Detergents & Disinfectants Trading,????? ???????? ?????????,Active,,Commercial,0,Standard,,Chemicals trading,"Includes reselling chemical detergents for cleaning clothes, carpets, floors, destainers, bleachers, deodorants, bathrooms, kitchens and drainage points disinfectants, also, included utensils and glass polishers and air fresheners.",,"For Warehouse & Land: Department of Civil Defense, CCTV_Certificate_GENERAL_RESOURCES_AUTHORITY, RAK Municipality- Public Health Department"
AM-09367,Freezone,7020029,Development of Fraud Detection and Prevention Systems,????? ????? ??? ???????? ???????? ???,Active,,Services,0,Standard,,Information Technology,"Implementing AI-driven fraud detection and prevention systems for financial transactions, online payments, and identity verification.",Acdemic Degree in Computer Science or qeuivalent,Certified Academic Degree
AM-09365,Freezone,6201024,Development of Natural Language Processing (NLP) Applications,????? ??????? ?????? ?????? ????????,Active,,Services,0,Standard,,Information Technology,"Developing and deploying natural language processing applications, including sentiment analysis, chatbots, and language translation services.",Acdemic Degree in Computer Science or qeuivalent,Certified Academic Degree
AM-01864,Freezone,514111,Diesel Fuel Trading,????? ??????,Active,,Commercial,0,Special,5000,Fuel and petroleum products trading,"Includes reselling diesel fuel, not directly to customers, but to industrial and commercial corporations for fuelling vehicles, ships, planes or in industrial or marine equipment, this activity neither involves petrol station which is classified under activity No. 505001, nor the firms that practice the activity no. 505002.",,"For Warehouse & Land: Department of Civil Defense, General Resources Authority-CCTV"
AM-06791,Freezone,100027,Digital and Interactive Game Development,??????? ?????? ??????? ?????????,Active,,Media,0,Standard,,E-Gaming Core,Digital and Interactive Game Development,,Media Brief Form
AM-06792,Freezone,100049,Digital Content Creation,????? ??????? ??????,Active,,Media,0,Standard,,Digital Media,"Creating, developing and providing content including, but not limited to text, images, videos, infographics and 3D CGI for use on applications and digital platforms and ensuring that the content is formatted and configured for use on a variety of devices and platforms.",,Media Brief Form
AM-06497,Freezone,RAKEZ /2017/71,Digital Designing,??????? ??????,Active,,Individual / Professional,0,Standard,,Manufacture of Plastic Products,"Includes manufacturing sanitary wares, doors plastic handles and hinges, Furniture wheels, wooden and metal fittings, Shelves fixtures and other accessories used in construction or industry that made of plastic or similar materials.",,
AM-06793,Freezone,100028,"Digital Media Library, Distribution and Management",????? ?????? ?????? ??????? ??????,Active,,Media,0,Standard,,Digital Media,"Digital Media Library, Distribution and Management",,Media Brief Form
AM-06794,Freezone,100029,Digital Signage Development and Management,????? ?????? ????????? ???????,Active,,Media,0,Standard,,Digital Media,Digital Signage Development and Management,,Media Brief Form
AM-06795,Freezone,100081,"Directories, Guides, Manuals and Catalogues",?????? ???????? ????????? ???????????,Active,,Media,0,Standard,,Publishing,"Directories, Guides, Manuals and Catalogues",Certified_Academic_Degree,"Media Regulatory Office / Ministry of Culture & Youth,Media Brief Form"
AM-09272,Freezone,RAKEZ9001026,Disaster Recovery Centre,???? ??????? ?? ???????,Active,,Services,0,Standard,,Outsourcing,"Provide premises with full facility to perform mission-essential functions for the continuity of operations which involves pre and post arrangements of disaster operations including natural or man-made disasters. Licensees may deliver essential services before, during and after an emergency for third parties",,
AM-08779,Freezone,7730044,Disinfecting Booths & Equipment Rental,????? ????? ?????? ???????,Active,,Services,0,Standard,,Other Rental Services,Includes reselling disinfecting booths and equipment which are installed in different places to disinfect all individuals and vehicles entering and exiting the area,,
AM-08776,Freezone,4773976,Disinfecting Booths & Equipment Trading,????? ????? ?????? ???????,Active,,Commercial,0,Standard,,Mechanical & engineering equipment trading,Includes reselling disinfecting booths and equipment which are installed in different places to disinfect all individuals and vehicles entering and exiting the area,,
AM-08778,Freezone,8121004,Disinfection & Sterilization Services,????? ??????? ????????,Active,,Services,0,Standard,,Cleaning services,"Includes firms specialized in eliminating bacteria and viruses that trigger infectious diseases by decontaminating indoor air homes, offices, schools and hospitals, also, in cabins such as cars, ambulances and airplanes, it involves using spreading the disinfectants and sterilizers all over the iterior to to eliminate microorganisms.",,
AM-08987,Freezone,5812004,Dissemination of evidence to the parks and scientific research,??? ?????? ???????? ???????? ???????,Active,,Educational,0,Standard,,Research and Development,"Includes firms that engaged in the dissemination of evidence to the parks and scientific research. This activity aims to monitor the trends, methods, tools and emerging findings that can be used to enhance the research process. This research will contribute to the greater benefit of society.",Certified_Academic_Degree,Academic Zone
AM-06796,Freezone,100068,Distribution / DVD Authoring,????? ?????? ????? ??????? ???????,Active,,Media,0,Standard,,"Production (Film, TV & Radio)",Distribution / DVD Authoring,,Media Brief Form
AM-03578,Freezone,515913,Diving Equipment Trading,????? ????? ?????? ?????,Active,,Commercial,0,Standard,,Mechanical & engineering equipment trading,"Includes reselling recreational and professional diving equipment such as snorkel, mask, rebreather, weighing system, depth gauge, fins, suits, buoyancy control device, cylinders.",,
